1:ROR:!=(int,int):<(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@<init>(int,int,int,int):77:mode != FIXED_NUM_ROWS |==> mode < FIXED_NUM_ROWS
15:ROR:<=(int,int):TRUE(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@<init>(int,int,int,int):80:size <= 0 |==> true
16:LVR:0:POS:org.gjt.sp.jedit.gui.VariableGridLayout@<init>(int,int,int,int):83:0 |==> 1
17:LVR:0:NEG:org.gjt.sp.jedit.gui.VariableGridLayout@<init>(int,int,int,int):83:0 |==> -1
18:ROR:<(int,int):!=(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@<init>(int,int,int,int):83:hgap < 0 |==> hgap != 0
19:ROR:<(int,int):<=(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@<init>(int,int,int,int):83:hgap < 0 |==> hgap <= 0
20:ROR:<(int,int):FALSE(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@<init>(int,int,int,int):83:hgap < 0 |==> false
21:LVR:0:POS:org.gjt.sp.jedit.gui.VariableGridLayout@<init>(int,int,int,int):86:0 |==> 1
22:LVR:0:NEG:org.gjt.sp.jedit.gui.VariableGridLayout@<init>(int,int,int,int):86:0 |==> -1
23:ROR:<(int,int):!=(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@<init>(int,int,int,int):86:vgap < 0 |==> vgap != 0
24:ROR:<(int,int):<=(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@<init>(int,int,int,int):86:vgap < 0 |==> vgap <= 0
25:ROR:<(int,int):FALSE(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@<init>(int,int,int,int):86:vgap < 0 |==> false
26:STD:<ASSIGN>:<NO-OP>:org.gjt.sp.jedit.gui.VariableGridLayout@<init>(int,int,int,int):89:this.mode = mode |==> <NO-OP>
27:STD:<ASSIGN>:<NO-OP>:org.gjt.sp.jedit.gui.VariableGridLayout@<init>(int,int,int,int):90:this.size = size |==> <NO-OP>
28:STD:<ASSIGN>:<NO-OP>:org.gjt.sp.jedit.gui.VariableGridLayout@<init>(int,int,int,int):91:this.hgap = hgap |==> <NO-OP>
29:STD:<ASSIGN>:<NO-OP>:org.gjt.sp.jedit.gui.VariableGridLayout@<init>(int,int,int,int):92:this.vgap = vgap |==> <NO-OP>
30:LVR:0:POS:org.gjt.sp.jedit.gui.VariableGridLayout@<init>(int,int):101:0 |==> 1
31:LVR:0:NEG:org.gjt.sp.jedit.gui.VariableGridLayout@<init>(int,int):101:0 |==> -1
32:LVR:0:POS:org.gjt.sp.jedit.gui.VariableGridLayout@<init>(int,int):101:0 |==> 1
33:LVR:0:NEG:org.gjt.sp.jedit.gui.VariableGridLayout@<init>(int,int):101:0 |==> -1
34:LVR:POS:0:org.gjt.sp.jedit.gui.VariableGridLayout@<init>():110:1 |==> 0
35:LVR:POS:NEG:org.gjt.sp.jedit.gui.VariableGridLayout@<init>():110:1 |==> -1
36:LVR:0:POS:org.gjt.sp.jedit.gui.VariableGridLayout@<init>():110:0 |==> 1
37:LVR:0:NEG:org.gjt.sp.jedit.gui.VariableGridLayout@<init>():110:0 |==> -1
38:LVR:0:POS:org.gjt.sp.jedit.gui.VariableGridLayout@<init>():110:0 |==> 1
39:LVR:0:NEG:org.gjt.sp.jedit.gui.VariableGridLayout@<init>():110:0 |==> -1
40:LVR:POS:0:org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutAlignmentX(java.awt.Container):136:0.5F |==> 0.0F
41:LVR:POS:NEG:org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutAlignmentX(java.awt.Container):136:0.5F |==> -0.5F
42:LVR:POS:0:org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutAlignmentY(java.awt.Container):144:0.5F |==> 0.0F
43:LVR:POS:NEG:org.gjt.sp.jedit.gui.VariableGridLayout@getLayoutAlignmentY(java.awt.Container):144:0.5F |==> -0.5F
44:LVR:POS:0:org.gjt.sp.jedit.gui.VariableGridLayout@preferredLayoutSize(java.awt.Container):149:2 |==> 0
45:LVR:POS:NEG:org.gjt.sp.jedit.gui.VariableGridLayout@preferredLayoutSize(java.awt.Container):149:2 |==> -2
46:LVR:0:POS:org.gjt.sp.jedit.gui.VariableGridLayout@minimumLayoutSize(java.awt.Container):154:0 |==> 1
47:LVR:0:NEG:org.gjt.sp.jedit.gui.VariableGridLayout@minimumLayoutSize(java.awt.Container):154:0 |==> -1
48:LVR:POS:0:org.gjt.sp.jedit.gui.VariableGridLayout@maximumLayoutSize(java.awt.Container):159:1 |==> 0
49:LVR:POS:NEG:org.gjt.sp.jedit.gui.VariableGridLayout@maximumLayoutSize(java.awt.Container):159:1 |==> -1
50:STD:<CALL>:<NO-OP>:org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):165:update(parent) |==> <NO-OP>
51:EVR:<METHOD_INVOCATION(int)>:<DEFAULT>:org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):167:parent.getComponentCount() |==> 0
52:LVR:0:POS:org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):169:0 |==> 1
53:LVR:0:NEG:org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):169:0 |==> -1
54:ROR:==(int,int):<=(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):169:ncomponents == 0 |==> ncomponents <= 0
55:ROR:==(int,int):>=(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):169:ncomponents == 0 |==> ncomponents >= 0
56:ROR:==(int,int):FALSE(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):169:ncomponents == 0 |==> false
57:STD:<RETURN>:<NO-OP>:org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):170:return; |==> <NO-OP>
58:LVR:0:POS:org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):174:0 |==> 1
59:LVR:0:NEG:org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):174:0 |==> -1
60:LVR:0:POS:org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):175:0 |==> 1
61:LVR:0:NEG:org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):175:0 |==> -1
62:LVR:0:POS:org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):175:0 |==> 1
63:LVR:0:NEG:org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):175:0 |==> -1
64:ROR:<(int,int):!=(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):175:r < nrows |==> r != nrows
65:ROR:<(int,int):<=(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):175:r < nrows |==> r <= nrows
66:ROR:<(int,int):FALSE(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):175:r < nrows |==> false
67:LVR:0:POS:org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):176:0 |==> 1
68:LVR:0:NEG:org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):176:0 |==> -1
69:ROR:<(int,int):!=(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):176:c < ncols |==> c != ncols
70:ROR:<(int,int):<=(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):176:c < ncols |==> c <= ncols
71:ROR:<(int,int):FALSE(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):176:c < ncols |==> false
72:ROR:<(int,int):!=(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):177:i < ncomponents |==> i != ncomponents
73:ROR:<(int,int):<=(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):177:i < ncomponents |==> i <= ncomponents
74:ROR:<(int,int):FALSE(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):177:i < ncomponents |==> false
75:EVR:<METHOD_INVOCATION(java.awt.Dimension)>:<DEFAULT>:org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):178:parent.getComponent(i).getPreferredSize() |==> null
76:STD:<ASSIGN>:<NO-OP>:org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):179:row_heights[r] = Math.max(row_heights[r], d.height) |==> <NO-OP>
77:STD:<ASSIGN>:<NO-OP>:org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):180:col_widths[c] = Math.max(col_widths[c], d.width) |==> <NO-OP>
78:STD:<BREAK>:<NO-OP>:org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):182:break; |==> <NO-OP>
79:STD:<ASSIGN>:<NO-OP>:org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):185:total_height += row_heights[r] |==> <NO-OP>
80:LVR:0:POS:org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):188:0 |==> 1
81:LVR:0:NEG:org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):188:0 |==> -1
82:LVR:0:POS:org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):189:0 |==> 1
83:LVR:0:NEG:org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):189:0 |==> -1
84:ROR:<(int,int):!=(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):189:c < ncols |==> c != ncols
85:ROR:<(int,int):<=(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):189:c < ncols |==> c <= ncols
86:ROR:<(int,int):FALSE(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):189:c < ncols |==> false
87:STD:<ASSIGN>:<NO-OP>:org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):190:total_width += col_widths[c] |==> <NO-OP>
88:EVR:<METHOD_INVOCATION(java.awt.Dimension)>:<DEFAULT>:org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):194:parent.getSize() |==> null
89:EVR:<METHOD_INVOCATION(java.awt.Insets)>:<DEFAULT>:org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):195:parent.getInsets() |==> null
90:AOR:-(int,int):%(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):196:parent_size.height - insets.top |==> parent_size.height % insets.top
91:AOR:-(int,int):*(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):196:parent_size.height - insets.top |==> parent_size.height * insets.top
92:AOR:-(int,int):+(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):196:parent_size.height - insets.top |==> parent_size.height + insets.top
93:AOR:-(int,int):/(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):196:parent_size.height - insets.top |==> parent_size.height / insets.top
94:AOR:-(int,int):%(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):196:parent_size.height - insets.top - insets.bottom |==> (parent_size.height - insets.top) % insets.bottom
95:AOR:-(int,int):*(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):196:parent_size.height - insets.top - insets.bottom |==> (parent_size.height - insets.top) * insets.bottom
96:AOR:-(int,int):+(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):196:parent_size.height - insets.top - insets.bottom |==> parent_size.height - insets.top + insets.bottom
97:AOR:-(int,int):/(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):196:parent_size.height - insets.top - insets.bottom |==> (parent_size.height - insets.top) / insets.bottom
98:LVR:POS:0:org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):196:1 |==> 0
99:LVR:POS:NEG:org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):196:1 |==> -1
100:AOR:-(int,int):%(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):196:nrows - 1 |==> nrows % 1
101:AOR:-(int,int):*(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):196:nrows - 1 |==> nrows * 1
102:AOR:-(int,int):+(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):196:nrows - 1 |==> nrows + 1
103:AOR:-(int,int):/(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):196:nrows - 1 |==> nrows / 1
104:AOR:*(int,int):%(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):196:(nrows - 1) * vgap |==> (nrows - 1) % vgap
105:AOR:*(int,int):+(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):196:(nrows - 1) * vgap |==> (nrows - 1) + vgap
106:AOR:*(int,int):-(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):196:(nrows - 1) * vgap |==> (nrows - 1) - vgap
107:AOR:*(int,int):/(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):196:(nrows - 1) * vgap |==> (nrows - 1) / vgap
108:AOR:-(int,int):%(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):196:parent_size.height - insets.top - insets.bottom - (nrows - 1) * vgap |==> (parent_size.height - insets.top - insets.bottom) % ((nrows - 1) * vgap)
109:AOR:-(int,int):*(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):196:parent_size.height - insets.top - insets.bottom - (nrows - 1) * vgap |==> (parent_size.height - insets.top - insets.bottom) * ((nrows - 1) * vgap)
110:AOR:-(int,int):+(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):196:parent_size.height - insets.top - insets.bottom - (nrows - 1) * vgap |==> parent_size.height - insets.top - insets.bottom + (nrows - 1) * vgap
111:AOR:-(int,int):/(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):196:parent_size.height - insets.top - insets.bottom - (nrows - 1) * vgap |==> (parent_size.height - insets.top - insets.bottom) / ((nrows - 1) * vgap)
112:AOR:-(int,int):%(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):197:parent_size.width - insets.left |==> parent_size.width % insets.left
113:AOR:-(int,int):*(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):197:parent_size.width - insets.left |==> parent_size.width * insets.left
114:AOR:-(int,int):+(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):197:parent_size.width - insets.left |==> parent_size.width + insets.left
115:AOR:-(int,int):/(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):197:parent_size.width - insets.left |==> parent_size.width / insets.left
116:AOR:-(int,int):%(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):197:parent_size.width - insets.left - insets.right |==> (parent_size.width - insets.left) % insets.right
117:AOR:-(int,int):*(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):197:parent_size.width - insets.left - insets.right |==> (parent_size.width - insets.left) * insets.right
118:AOR:-(int,int):+(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):197:parent_size.width - insets.left - insets.right |==> parent_size.width - insets.left + insets.right
119:AOR:-(int,int):/(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):197:parent_size.width - insets.left - insets.right |==> (parent_size.width - insets.left) / insets.right
120:LVR:POS:0:org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):197:1 |==> 0
121:LVR:POS:NEG:org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):197:1 |==> -1
122:AOR:-(int,int):%(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):197:ncols - 1 |==> ncols % 1
123:AOR:-(int,int):*(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):197:ncols - 1 |==> ncols * 1
124:AOR:-(int,int):+(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):197:ncols - 1 |==> ncols + 1
125:AOR:-(int,int):/(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):197:ncols - 1 |==> ncols / 1
126:AOR:*(int,int):%(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):197:(ncols - 1) * hgap |==> (ncols - 1) % hgap
127:AOR:*(int,int):+(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):197:(ncols - 1) * hgap |==> (ncols - 1) + hgap
128:AOR:*(int,int):-(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):197:(ncols - 1) * hgap |==> (ncols - 1) - hgap
129:AOR:*(int,int):/(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):197:(ncols - 1) * hgap |==> (ncols - 1) / hgap
130:AOR:-(int,int):%(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):197:parent_size.width - insets.left - insets.right - (ncols - 1) * hgap |==> (parent_size.width - insets.left - insets.right) % ((ncols - 1) * hgap)
131:AOR:-(int,int):*(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):197:parent_size.width - insets.left - insets.right - (ncols - 1) * hgap |==> (parent_size.width - insets.left - insets.right) * ((ncols - 1) * hgap)
132:AOR:-(int,int):+(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):197:parent_size.width - insets.left - insets.right - (ncols - 1) * hgap |==> parent_size.width - insets.left - insets.right + (ncols - 1) * hgap
133:AOR:-(int,int):/(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):197:parent_size.width - insets.left - insets.right - (ncols - 1) * hgap |==> (parent_size.width - insets.left - insets.right) / ((ncols - 1) * hgap)
134:ROR:!=(int,int):<(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):199:total_height != free_height |==> total_height < free_height
135:ROR:!=(int,int):>(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):199:total_height != free_height |==> total_height > free_height
136:ROR:!=(int,int):TRUE(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):199:total_height != free_height |==> true
137:AOR:/(double,double):%(double,double):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):200:(double)free_height / (double)total_height |==> (double)free_height % (double)total_height
138:AOR:/(double,double):*(double,double):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):200:(double)free_height / (double)total_height |==> (double)free_height * (double)total_height
139:AOR:/(double,double):+(double,double):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):200:(double)free_height / (double)total_height |==> (double)free_height + (double)total_height
140:AOR:/(double,double):-(double,double):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):200:(double)free_height / (double)total_height |==> (double)free_height - (double)total_height
141:LVR:0:POS:org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):201:0 |==> 1
142:LVR:0:NEG:org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):201:0 |==> -1
143:ROR:<(int,int):!=(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):201:r < nrows |==> r != nrows
144:ROR:<(int,int):<=(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):201:r < nrows |==> r <= nrows
145:ROR:<(int,int):FALSE(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):201:r < nrows |==> false
146:AOR:*(double,double):%(double,double):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):202:(double)row_heights[r] * dy |==> (double)row_heights[r] % dy
147:AOR:*(double,double):+(double,double):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):202:(double)row_heights[r] * dy |==> (double)row_heights[r] + dy
148:AOR:*(double,double):-(double,double):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):202:(double)row_heights[r] * dy |==> (double)row_heights[r] - dy
149:AOR:*(double,double):/(double,double):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):202:(double)row_heights[r] * dy |==> (double)row_heights[r] / dy
150:STD:<ASSIGN>:<NO-OP>:org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):202:row_heights[r] = (int)((double)row_heights[r] * dy) |==> <NO-OP>
151:ROR:!=(int,int):<(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):206:total_width != free_width |==> total_width < free_width
152:ROR:!=(int,int):>(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):206:total_width != free_width |==> total_width > free_width
153:ROR:!=(int,int):TRUE(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):206:total_width != free_width |==> true
154:AOR:/(double,double):%(double,double):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):207:((double)free_width) / ((double)total_width) |==> ((double)free_width) % ((double)total_width)
155:AOR:/(double,double):*(double,double):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):207:((double)free_width) / ((double)total_width) |==> ((double)free_width) * ((double)total_width)
156:AOR:/(double,double):+(double,double):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):207:((double)free_width) / ((double)total_width) |==> ((double)free_width) + ((double)total_width)
157:AOR:/(double,double):-(double,double):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):207:((double)free_width) / ((double)total_width) |==> ((double)free_width) - ((double)total_width)
158:LVR:0:POS:org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):208:0 |==> 1
159:LVR:0:NEG:org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):208:0 |==> -1
160:ROR:<(int,int):!=(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):208:c < ncols |==> c != ncols
161:ROR:<(int,int):<=(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):208:c < ncols |==> c <= ncols
162:ROR:<(int,int):FALSE(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):208:c < ncols |==> false
163:AOR:*(double,double):%(double,double):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):209:(double)col_widths[c] * dx |==> (double)col_widths[c] % dx
164:AOR:*(double,double):+(double,double):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):209:(double)col_widths[c] * dx |==> (double)col_widths[c] + dx
165:AOR:*(double,double):-(double,double):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):209:(double)col_widths[c] * dx |==> (double)col_widths[c] - dx
166:AOR:*(double,double):/(double,double):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):209:(double)col_widths[c] * dx |==> (double)col_widths[c] / dx
167:STD:<ASSIGN>:<NO-OP>:org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):209:col_widths[c] = (int)((double)col_widths[c] * dx) |==> <NO-OP>
168:LVR:0:POS:org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):214:0 |==> 1
169:LVR:0:NEG:org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):214:0 |==> -1
170:EVR:<MEMBER_SELECT(int)>:<DEFAULT>:org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):214:insets.top |==> 0
171:LVR:0:POS:org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):214:0 |==> 1
172:LVR:0:NEG:org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):214:0 |==> -1
173:ROR:<(int,int):!=(int,int):org.gjt.sp.jedit.gui.VariableGridLayout@layoutContainer(java.awt.Container):214:r < nrows |==> r != nrows
